"entity_type","bundle","deleted","entity_id","revision_id","language","delta","field_address_country","field_address_administrative_area","field_address_sub_administrative_area","field_address_locality","field_address_dependent_locality","field_address_postal_code","field_address_thoroughfare","field_address_premise","field_address_sub_premise","field_address_organisation_name","field_address_name_line","field_address_first_name","field_address_last_name","field_address_data"
"node","listing_lodging","0","59","59","und","0","US","NC",NULL,"Asheville",,"28805","2 Buckstone Pl",,NULL,NULL,NULL,NULL,NULL,NULL
"node","listing_lodging","0","59","4586356","und","0","US","NC",NULL,"Asheville",,"28805","2 Buckstone Pl",,NULL,NULL,NULL,NULL,NULL,NULL
"node","listing_lodging","0","60","60","und","0","US","NC",NULL,"Asheville",,"28806","1918 Old Haywood Rd",,NULL,NULL,NULL,NULL,NULL,NULL
"node","listing_lodging","0","60","4586361","und","0","US","NC",NULL,"Asheville",,"28806","1918 Old Haywood Rd",,NULL,NULL,NULL,NULL,NULL,NULL
"node","listing_lodging","0","61","61","und","0","US","NC",NULL,"Asheville",,"28805","1 Buckstone Pl",,NULL,NULL,NULL,NULL,NULL,NULL
"node","listing_lodging","0","61","4586366","und","0","US","NC",NULL,"Asheville",,"28805","1 Buckstone Pl",,NULL,NULL,NULL,NULL,NULL,NULL
"node","listing_lodging","0","62","62","und","0","US","NC",NULL,"Asheville",,"28803","11 Boston Way",,NULL,NULL,NULL,NULL,NULL,NULL
"node","listing_lodging","0","62","4586371","und","0","US","NC",NULL,"Asheville",,"28803","11 Boston Way",,NULL,NULL,NULL,NULL,NULL,NULL
"node","listing_lodging","0","63","63","und","0","US","NC",NULL,"Asheville",,"28803","43 TOWN SQUARE BLVD",,NULL,NULL,NULL,NULL,NULL,NULL
"node","listing_lodging","0","63","4586376","und","0","US","NC",NULL,"Asheville",,"28803","43 Town Square Blvd.",,NULL,NULL,NULL,NULL,NULL,NULL
"node","listing_lodging","0","65","65","und","0","US","NC",NULL,"Cashiers",,"28717","1525 Highway 107 South",,NULL,NULL,NULL,NULL,NULL,NULL
"node","listing_lodging","0","66","66","und","0","US","NC",NULL,"Asheville",,"28801","51 Biltmore Avenue",,NULL,NULL,NULL,NULL,NULL,NULL
"node","listing_lodging","0","66","4586386","und","0","US","NC",NULL,"Asheville",,"28801","51 Biltmore Avenue",,NULL,NULL,NULL,NULL,NULL,NULL
"node","listing_lodging","0","69","69","und","0","US","NC",NULL,"Asheville",,"28805","1430 Tunnel Rd",,NULL,NULL,NULL,NULL,NULL,NULL
"node","listing_lodging","0","70","70","und","0","US","NC",NULL,"Robbinsville",,"28771","4633 Santeetlah Road",,NULL,NULL,NULL,NULL,NULL,NULL
"node","listing_lodging","0","70","4586401","und","0","US","NC",NULL,"Robbinsville",,"28771","4633 Santeetlah Road",,NULL,NULL,NULL,NULL,NULL,NULL
"node","listing_lodging","0","71","71","und","0","US","NC",NULL,"Asheville",,"28805","199 Tunnel Road",,NULL,NULL,NULL,NULL,NULL,NULL
"node","listing_lodging","0","73","73","und","0","US","NC",NULL,"Robbinsville",,"28771","195 Old US 129",,NULL,NULL,NULL,NULL,NULL,NULL
"node","listing_lodging","0","73","4586411","und","0","US","NC",NULL,"Robbinsville",,"28771","195 Old US 129",,NULL,NULL,NULL,NULL,NULL,NULL
"node","listing_lodging","0","74","74","und","0","US","NC",NULL,"Waynesville",,"28786","176 Country Club Drive",,NULL,NULL,NULL,NULL,NULL,NULL
