"entity_type","bundle","deleted","entity_id","revision_id","language","delta","field_contributor_nid"
"node","text","0","559","561","und","0","12"
"node","text","0","572","574","und","0","83"
"node","text","0","573","575","und","0","40"
"node","text","0","576","578","und","0","12"
"node","text","0","578","580","und","0","12"
"node","text","0","579","581","und","0","12"
"node","text","0","580","582","und","0","12"
"node","text","0","583","585","und","0","553"
"node","video","0","586","588","und","0","99"
"node","text","0","588","590","und","0","12"
"node","text","0","589","591","und","0","399"
"node","text","0","590","592","und","0","12"
"node","text","0","594","596","und","0","593"
"node","text","0","601","603","und","0","12"
"node","text","0","608","610","und","0","40"
"node","text","0","609","611","und","0","12"
"node","text","0","620","622","und","0","12"
"node","text","0","623","625","und","0","12"
"node","text","0","628","630","und","0","627"
"node","text","0","632","634","und","0","12"
"node","text","0","633","635","und","0","553"
"node","text","0","634","636","und","0","12"
"node","text","0","636","638","und","0","89"
"node","text","0","640","642","und","0","12"
"node","text","0","644","646","und","0","26"
"node","text","0","647","649","und","0","637"
"node","text","0","649","651","und","0","41"
"node","text","0","655","657","und","0","12"
"node","text","0","656","658","und","0","12"
"node","text","0","659","661","und","0","593"
"node","text","0","660","662","und","0","12"
"node","audio","0","668","670","und","0","12"
"node","text","0","670","672","und","0","12"
"node","text","0","672","674","und","0","12"
"node","text","0","676","679","und","0","12"
"node","text","0","677","680","und","0","627"
"node","text","0","680","683","und","0","26"
"node","text","0","689","693","und","0","553"
"node","text","0","692","696","und","0","691"
"node","text","0","695","699","und","0","12"
"node","text","0","697","701","und","0","12"
"node","text","0","701","705","und","0","593"
"node","video","0","703","707","und","0","12"
"node","text","0","714","718","und","0","12"
"node","text","0","715","719","und","0","12"
"node","text","0","717","721","und","0","357"
"node","audio","0","718","722","und","0","12"
"node","text","0","728","732","und","0","12"
"node","text","0","733","737","und","0","593"
"node","text","0","734","738","und","0","691"
"node","text","0","741","745","und","0","553"
"node","text","0","742","746","und","0","12"
"node","audio","0","745","749","und","0","12"
"node","text","0","750","754","und","0","637"
